#entrez	phenotype	sources
E1	hdf	konig08:hdf
E10001	hdf	brass08:hdf|zhou08:hdf|konig08:hdf
E100033806	hrf	liu:hrf
E100128025	hdf	yeung09:hdf
E100130348	hdf	yeung09:hdf
E10026	hdf	brass08:hdf
E10036	hdf	konig08:hdf
E10043	both	zhou08:both
E10050	hdf	yeung09:hdf
E100505487	hdf	yeung09:hdf
E100505960	hdf	yeung09:hdf
E100506696	hdf	yeung09:hdf
E10075	hdf	brass08:hdf
E10076	hdf	konig08:hdf
E100852405	hdf	yeung09:hdf
E100861515	hdf	yeung09:hdf
E100873948	hdf	yeung09:hdf
E100874271	hdf	yeung09:hdf
E100874297	hdf	yeung09:hdf
E100874352	hdf	yeung09:hdf
E10130	hdf	brass08:hdf
E10157	hdf	zhou08:hdf
E10179	hdf	konig08:hdf
E10181	hdf	konig08:hdf
E10197	hdf	yeung09:hdf
E102	hdf	brass08:hdf
E10200	hdf	brass08:hdf
E10207	hdf	yeung09:hdf
E10223	hdf	yeung09:hdf
E10237	hrf	liu:hrf
E10244	hdf	brass08:hdf
E10245	hdf	konig08:hdf
E10269	hdf	zhou08:hdf
E10291	hdf	konig08:hdf
E10294	hdf	zhou08:hdf
E10313	hdf	konig08:hdf
E10325	hdf	brass08:hdf
E10365	hdf	zhou08:hdf
E10376	hdf	yeung09:hdf
E103910	hrf	liu:hrf
E10411	both	yeung09:hdf|liu:hrf
E10412	hdf	yeung09:hdf
E10424	hdf	zhou08:hdf
E10468	hdf	yeung09:hdf
E10479	hdf	zhou08:hdf
E10482	hdf	konig08:hdf
E10488	hdf	yeung09:hdf
E10518	hdf	zhou08:hdf
E10533	hdf	brass08:hdf
E10542	both	zhou08:both
E10552	hdf	brass08:hdf
E10569	hdf	konig08:hdf
E10576	hdf	zhou08:hdf
E10594	hdf	konig08:hdf
E10595	hdf	zhou08:hdf
E10602	hdf	konig08:hdf
E10605	hdf	yeung09:hdf
E10621	hdf	brass08:hdf
E10637	hdf	brass08:hdf
E10645	hdf	zhou08:hdf
E10656	both	zhou08:both
E10657	hdf	konig08:hdf
E10665	hdf	yeung09:hdf
E10669	hdf	konig08:hdf
E10713	hdf	zhou08:hdf
E10728	hdf	konig08:hdf
E10732	hdf	zhou08:hdf
E1075	hrf	liu:hrf
E10762	hdf	konig08:hdf
E10787	hdf	konig08:hdf
E10850	hdf	yeung09:hdf
E10858	hdf	zhou08:hdf
E10865	hdf	konig08:hdf
E10874	hrf	liu:hrf
E1089	hdf	yeung09:hdf
E10921	hdf	konig08:hdf
E10923	hdf	konig08:hdf
E10935	hdf	yeung09:hdf
E10939	hdf	konig08:hdf
E10957	hdf	brass08:hdf
E10959	hdf	brass08:hdf
E10960	hdf	konig08:hdf
E10963	hdf	zhou08:hdf
E10992	hdf	konig08:hdf
E11011	both	zhou08:both
E11018	both	zhou08:both
E11065	hdf	konig08:hdf
E11076	hdf	konig08:hdf
E11096	hdf	zhou08:hdf
E11105	hdf	brass08:hdf
E11127	hdf	konig08:hdf
E11128	hdf	brass08:hdf
E11144	hdf	yeung09:hdf
E11153	hdf	yeung09:hdf
E11163	both	zhou08:both
E11165	hdf	konig08:hdf
E11193	hdf	konig08:hdf
E11214	hdf	konig08:hdf
E11219	hrf	liu:hrf
E112479	hdf	brass08:hdf
E11266	hdf	konig08:hdf
E112950	hdf	zhou08:hdf
E11318	hdf	zhou08:hdf
E113189	hdf	zhou08:hdf
E113235	hdf	brass08:hdf
E11337	hdf	zhou08:hdf
E113402	hdf	brass08:hdf
E11345	hdf	brass08:hdf
E1139	hdf	konig08:hdf
E114134	hdf	zhou08:hdf
E114769	hdf	brass08:hdf
E114780	hdf	brass08:hdf
E114786	hdf	brass08:hdf
E114795	hrf	liu:hrf
E114880	hdf	konig08:hdf
E114881	hdf	zhou08:hdf
E114883	hdf	yeung09:hdf
E115509	hrf	liu:hrf
E116541	hrf	liu:hrf
E116986	hdf	brass08:hdf
E1173	both	brass08:hdf|liu:hrf
E119	hdf	yeung09:hdf
E119385	hrf	liu:hrf
E1201	hdf	brass08:hdf
E1207	hdf	brass08:hdf
E1209	hdf	yeung09:hdf
E1211	both	liu:hrf|konig08:hdf
E121506	hdf	brass08:hdf
E121536	hdf	konig08:hdf
E122416	hdf	brass08:hdf
E123	hdf	yeung09:hdf
E123591	hrf	liu:hrf
E1240	hdf	zhou08:hdf
E124152	hdf	yeung09:hdf
E124411	hdf	brass08:hdf
E124583	hdf	konig08:hdf
E124751	hdf	zhou08:hdf
