etype=Set(modrxn|inrxn|rxnprod)	a	b	dir	sign	pathway=Discrete(REPLACE_ME)
modrxn	E54658	REACT22274	1	1	Metabolism
inrxn	species174384	REACT22274	1	1	Metabolism
inrxn	species159151	REACT22274	1	1	Metabolism
rxnprod	REACT22274	species158602	1	1	Metabolism
rxnprod	REACT22274	species159160	1	1	Metabolism
modrxn	E84245	REACT75840	1	1	Metabolism
inrxn	species1237107	REACT75840	1	1	Metabolism
rxnprod	REACT75840	species1237165	1	1	Metabolism
modrxn	REACT22998	REACT22319	1	1	Metabolism
inrxn	species174384	REACT22319	1	1	Metabolism
inrxn	species159160	REACT22319	1	1	Metabolism
rxnprod	REACT22319	species158602	1	1	Metabolism
rxnprod	REACT22319	species159149	1	1	Metabolism
modrxn	REACT26517	REACT25127	1	1	Metabolism
inrxn	species29368	REACT25127	1	1	Metabolism
inrxn	species29356	REACT25127	1	1	Metabolism
inrxn	species965146	REACT25127	1	1	Metabolism
rxnprod	REACT25127	species29408	1	1	Metabolism
rxnprod	REACT25127	species31633	1	1	Metabolism
rxnprod	REACT25127	species29390	1	1	Metabolism
modrxn	REACT7163	REACT6949	1	1	Metabolism
inrxn	species176619	REACT6949	1	1	Metabolism
inrxn	species158471	REACT6949	1	1	Metabolism
rxnprod	REACT6949	species176492	1	1	Metabolism
rxnprod	REACT6949	species158466	1	1	Metabolism
modrxn	species176567	REACT6805	1	1	Metabolism
inrxn	species158471	REACT6805	1	1	Metabolism
inrxn	species193103	REACT6805	1	1	Metabolism
rxnprod	REACT6805	species158466	1	1	Metabolism
rxnprod	REACT6805	species176665	1	1	Metabolism
modrxn	REACT26403	REACT25137	1	1	Metabolism
inrxn	species29356	REACT25137	1	1	Metabolism
inrxn	species964965	REACT25137	1	1	Metabolism
rxnprod	REACT25137	species29372	1	1	Metabolism
rxnprod	REACT25137	species29480	1	1	Metabolism
modrxn	REACT26578	REACT25310	1	1	Metabolism
inrxn	species29398	REACT25310	1	1	Metabolism
inrxn	species29970	REACT25310	1	1	Metabolism
rxnprod	REACT25310	species29432	1	1	Metabolism
rxnprod	REACT25310	species893615	1	1	Metabolism
inrxn	species189455	REACT9945	1	1	Metabolism
rxnprod	REACT9945	species189411	1	1	Metabolism
inrxn	species193843	REACT9985	1	1	Metabolism
rxnprod	REACT9985	species192201	1	1	Metabolism
modrxn	REACT9592	REACT9461	1	1	Metabolism
inrxn	species113531	REACT9461	1	1	Metabolism
inrxn	species189487	REACT9461	1	1	Metabolism
rxnprod	REACT9461	species113529	1	1	Metabolism
rxnprod	REACT9461	species189444	1	1	Metabolism
modrxn	REACT7680	REACT6957	1	1	Metabolism
inrxn	species176478	REACT6957	1	1	Metabolism
inrxn	species158471	REACT6957	1	1	Metabolism
rxnprod	REACT6957	species176618	1	1	Metabolism
rxnprod	REACT6957	species158466	1	1	Metabolism
modrxn	E6718	REACT10102	1	1	Metabolism
inrxn	species70106	REACT10102	1	1	Metabolism
inrxn	species29364	REACT10102	1	1	Metabolism
inrxn	species193835	REACT10102	1	1	Metabolism
rxnprod	REACT10102	species29366	1	1	Metabolism
rxnprod	REACT10102	species193830	1	1	Metabolism
inrxn	species189466	REACT9454	1	1	Metabolism
rxnprod	REACT9454	species189489	1	1	Metabolism
inrxn	species189463	REACT9393	1	1	Metabolism
rxnprod	REACT9393	species189487	1	1	Metabolism
modrxn	REACT122567	REACT121277	1	1	Metabolism
inrxn	species2076551	REACT121277	1	1	Metabolism
inrxn	species914003	REACT121277	1	1	Metabolism
rxnprod	REACT121277	species2076465	1	1	Metabolism
rxnprod	REACT121277	species205687	1	1	Metabolism
modrxn	species189429	REACT9463	1	1	Metabolism
inrxn	species159549	REACT9463	1	1	Metabolism
inrxn	species70958	REACT9463	1	1	Metabolism
